,fecha,reservas_internacionales
187,1996-09-30,19984
188,1996-10-01,20314
189,1996-10-02,20748
190,1996-10-03,20707
191,1996-10-04,19734
192,1996-10-07,19439
193,1996-10-08,19092
194,1996-10-09,20028
195,1996-10-10,19968
196,1996-10-11,20175
197,1996-10-14,20168
198,1996-10-15,20001
199,1996-10-16,19758
200,1996-10-17,19559
201,1996-10-18,19975
202,1996-10-21,19902
203,1996-10-22,19873
204,1996-10-23,19773
205,1996-10-24,19763
206,1996-10-25,19965
207,1996-10-28,19867
208,1996-10-29,19850
209,1996-10-30,19893
210,1996-10-31,19288
211,1996-11-01,19330
212,1996-11-04,19506
213,1996-11-05,19871
214,1996-11-06,19998
215,1996-11-07,19934
216,1996-11-08,19950
217,1996-11-11,19942
218,1996-11-12,20453
219,1996-11-13,20719
220,1996-11-14,20771
221,1996-11-15,20379
222,1996-11-18,20434
223,1996-11-19,20306
224,1996-11-20,20405
225,1996-11-21,20764
226,1996-11-22,20407
227,1996-11-25,20198
228,1996-11-26,20358
229,1996-11-27,20281
230,1996-11-28,20291
231,1996-11-29,20033
232,1996-12-02,20464
233,1996-12-03,20586
234,1996-12-04,20815
235,1996-12-05,20882
236,1996-12-06,20931
237,1996-12-09,20982
238,1996-12-10,20928
239,1996-12-11,21136
240,1996-12-12,20962
241,1996-12-13,21653
242,1996-12-16,21742
243,1996-12-17,21848
244,1996-12-18,22044
245,1996-12-19,22411
246,1996-12-20,22955
247,1996-12-23,23582
248,1996-12-24,23772
249,1996-12-26,23711
250,1996-12-27,23912
251,1996-12-30,23330
252,1997-01-02,23496
253,1997-01-03,23954
254,1997-01-06,23165
255,1997-01-07,22887
256,1997-01-08,22887
257,1997-01-09,23091
258,1997-01-10,23273
259,1997-01-13,23127
260,1997-01-14,22964
261,1997-01-15,22931
262,1997-01-16,22939
263,1997-01-17,22515
264,1997-01-20,22522
265,1997-01-21,22620
266,1997-01-22,22797
267,1997-01-23,22799
268,1997-01-24,22633
269,1997-01-27,22652
270,1997-01-28,22554
271,1997-01-29,22043
272,1997-01-30,24029
273,1997-01-31,23426
274,1997-02-03,23938
275,1997-02-04,23924
276,1997-02-05,23796
277,1997-02-06,23710
278,1997-02-07,24143
279,1997-02-10,24102
280,1997-02-11,23795
281,1997-02-12,24122
282,1997-02-13,24298
283,1997-02-14,24649
284,1997-02-17,24644
285,1997-02-18,24720
286,1997-02-19,24874
287,1997-02-20,25019
288,1997-02-21,25029
289,1997-02-24,25047
290,1997-02-25,25240
291,1997-02-26,25187
292,1997-02-27,25242
293,1997-02-28,25155
294,1997-03-03,25074
295,1997-03-04,25069
296,1997-03-05,24905
297,1997-03-06,24858
298,1997-03-07,24819
299,1997-03-10,24692
300,1997-03-11,24843
301,1997-03-12,24870
302,1997-03-13,25041
303,1997-03-14,25008
304,1997-03-17,24803
305,1997-03-18,25916
306,1997-03-19,25877
307,1997-03-20,25871
308,1997-03-21,25901
309,1997-03-24,25460
310,1997-03-25,25510
311,1997-03-26,25050
312,1997-03-31,24406
313,1997-04-01,24763
314,1997-04-02,24871
315,1997-04-03,24783
316,1997-04-04,24786
317,1997-04-07,24577
318,1997-04-08,24233
319,1997-04-09,24271
320,1997-04-10,24277
321,1997-04-11,24532
322,1997-04-14,24508
323,1997-04-15,24522
324,1997-04-16,24584
325,1997-04-17,24549
326,1997-04-18,24457
327,1997-04-21,24344
328,1997-04-22,24316
329,1997-04-23,24415
330,1997-04-24,24188
331,1997-04-25,24052
332,1997-04-28,24095
333,1997-04-29,23996
334,1997-04-30,24028
335,1997-05-02,24271
336,1997-05-05,24123
337,1997-05-06,24002
338,1997-05-07,24330
339,1997-05-08,24231
340,1997-05-09,24669
341,1997-05-12,24698
342,1997-05-13,24932
343,1997-05-14,25307
344,1997-05-15,24736
345,1997-05-16,25207
346,1997-05-19,25092
347,1997-05-20,25355
348,1997-05-21,25594
349,1997-05-22,25546
350,1997-05-23,25751
351,1997-05-26,25829
352,1997-05-27,26479
353,1997-05-28,26326
354,1997-05-29,26197
355,1997-05-30,26007
356,1997-06-02,26017
357,1997-06-03,25998
358,1997-06-04,26007
359,1997-06-05,25907
360,1997-06-06,25909
361,1997-06-10,25778
362,1997-06-11,25919
363,1997-06-12,25857
364,1997-06-13,25751
365,1997-06-17,25502
366,1997-06-18,25375
367,1997-06-19,25142
368,1997-06-20,25447
369,1997-06-23,25099
370,1997-06-24,25494
371,1997-06-25,25912
372,1997-06-26,26087
373,1997-06-27,26437
374,1997-06-30,25862
375,1997-07-01,26624
376,1997-07-02,26392
377,1997-07-03,26792
378,1997-07-04,26713
379,1997-07-07,26487
380,1997-07-08,26283
381,1997-07-10,26639
382,1997-07-11,26485
383,1997-07-14,26309
384,1997-07-15,26141
385,1997-07-16,26023
386,1997-07-17,26145
387,1997-07-18,26257
388,1997-07-21,26644
389,1997-07-22,26742
390,1997-07-23,27100
391,1997-07-24,27183
392,1997-07-25,27212
393,1997-07-28,26907
394,1997-07-29,26873
395,1997-07-30,27070
396,1997-07-31,26863
397,1997-08-01,26836
398,1997-08-04,27314
399,1997-08-05,27345
400,1997-08-06,27463
401,1997-08-07,27274
402,1997-08-08,27309
403,1997-08-11,27469
404,1997-08-12,27545
405,1997-08-13,27655
406,1997-08-14,27667
407,1997-08-15,27593
408,1997-08-19,27546
409,1997-08-20,27682
410,1997-08-21,27999
411,1997-08-22,28128
412,1997-08-25,28197
413,1997-08-26,28180
414,1997-08-27,28192
415,1997-08-28,28271
416,1997-08-29,27879
417,1997-09-01,28044
418,1997-09-02,27632
419,1997-09-03,27483
420,1997-09-04,27703
421,1997-09-05,27734
422,1997-09-08,27387
423,1997-09-09,27469
424,1997-09-10,27364
425,1997-09-11,27435
426,1997-09-12,27692
427,1997-09-15,27374
428,1997-09-16,27111
429,1997-09-17,27316
430,1997-09-18,27076
431,1997-09-19,27077
432,1997-09-22,27230
433,1997-09-23,27134
434,1997-09-24,27284
435,1997-09-25,27890
436,1997-09-26,28029
437,1997-09-29,26812
438,1997-09-30,26521
439,1997-10-01,27019
440,1997-10-02,26976
441,1997-10-03,26984
442,1997-10-06,27316
443,1997-10-07,27163
444,1997-10-08,27259
445,1997-10-09,27450
446,1997-10-10,27549
447,1997-10-13,27682
448,1997-10-14,27547
449,1997-10-15,27414
450,1997-10-16,27619
451,1997-10-17,27859
452,1997-10-20,27798
453,1997-10-21,28141
454,1997-10-22,28003
455,1997-10-23,28101
456,1997-10-24,28183
457,1997-10-27,27981
458,1997-10-28,27590
459,1997-10-29,27451
460,1997-10-30,27692
461,1997-10-31,27591
462,1997-11-03,28000
463,1997-11-04,28192
464,1997-11-05,28526
465,1997-11-06,28981
466,1997-11-07,29045
467,1997-11-10,28944
468,1997-11-11,28873
469,1997-11-12,28739
470,1997-11-13,28757
471,1997-11-14,28669
472,1997-11-17,28542
473,1997-11-18,28350
474,1997-11-19,28371
475,1997-11-20,28350
476,1997-11-21,28061
477,1997-11-24,27990
478,1997-11-25,27628
479,1997-11-26,27429
480,1997-11-27,27471
481,1997-11-28,27331
482,1997-12-01,27536
483,1997-12-02,28200
484,1997-12-03,28315
485,1997-12-04,28440
486,1997-12-05,28632
487,1997-12-09,28476
488,1997-12-10,28475
489,1997-12-11,28670
490,1997-12-12,28771
491,1997-12-15,28467
492,1997-12-16,29354
493,1997-12-17,29325
494,1997-12-18,29555
495,1997-12-19,30129
496,1997-12-22,30192
497,1997-12-23,30337
498,1997-12-24,30478
499,1997-12-26,30453
500,1997-12-29,29799
501,1997-12-31,29769
502,1998-01-02,29628
503,1998-01-05,30175
504,1998-01-06,30318
505,1998-01-07,30321
506,1998-01-08,30121
507,1998-01-09,29950
508,1998-01-12,29960
509,1998-01-13,30190
510,1998-01-14,30677
511,1998-01-15,30437
512,1998-01-16,30646
513,1998-01-19,30477
514,1998-01-20,29675
515,1998-01-21,29539
516,1998-01-22,29177
517,1998-01-23,28930
518,1998-01-26,28772
519,1998-01-27,28918
520,1998-01-28,28879
521,1998-01-29,28494
522,1998-01-30,27914
523,1998-02-02,28617
524,1998-02-03,29178
525,1998-02-04,29970
526,1998-02-05,29998
527,1998-02-06,29905
528,1998-02-09,29866
529,1998-02-10,30387
530,1998-02-11,30258
531,1998-02-12,30344
532,1998-02-13,30164
533,1998-02-16,30206
534,1998-02-17,30059
535,1998-02-18,30294
536,1998-02-19,30362
537,1998-02-20,30647
538,1998-02-23,30622
539,1998-02-24,30572
540,1998-02-25,30603
541,1998-02-26,31513
542,1998-02-27,31325
543,1998-03-02,30825
544,1998-03-03,30643
545,1998-03-04,30652
546,1998-03-05,30867
547,1998-03-06,30716
548,1998-03-09,30509
549,1998-03-10,30267
550,1998-03-11,30257
551,1998-03-12,30571
552,1998-03-13,30644
553,1998-03-16,30122
554,1998-03-17,30155
555,1998-03-18,29992
556,1998-03-19,30830
557,1998-03-20,30864
558,1998-03-23,30635
559,1998-03-24,30600
560,1998-03-25,30464
561,1998-03-26,30556
562,1998-03-27,30839
563,1998-03-30,30202
564,1998-03-31,29993
565,1998-04-01,30870
566,1998-04-02,30860
567,1998-04-03,30375
568,1998-04-06,30171
569,1998-04-07,30409
570,1998-04-08,29955
571,1998-04-13,30725
572,1998-04-14,30546
573,1998-04-15,30549
574,1998-04-16,30680
575,1998-04-17,30845
576,1998-04-20,30700
577,1998-04-21,31520
578,1998-04-22,31354
579,1998-04-23,30233
580,1998-04-24,30339
581,1998-04-27,30293
582,1998-04-28,30373
583,1998-04-29,30190
584,1998-04-30,29941
585,1998-05-04,30905
586,1998-05-05,31065
587,1998-05-06,31056
588,1998-05-07,31174
589,1998-05-08,31385
590,1998-05-11,31577
591,1998-05-12,31465
592,1998-05-13,31519
593,1998-05-14,31329
594,1998-05-15,31336
595,1998-05-18,30934
596,1998-05-19,30868
597,1998-05-20,31164
598,1998-05-21,31178
599,1998-05-22,31535
600,1998-05-26,31880
601,1998-05-27,31628
602,1998-05-28,31782
603,1998-05-29,30462
604,1998-06-01,31266
605,1998-06-02,31486
606,1998-06-03,31523
607,1998-06-04,31903
608,1998-06-05,32043
609,1998-06-09,32082
610,1998-06-10,32041
611,1998-06-11,32315
612,1998-06-12,32306
613,1998-06-16,32065
614,1998-06-17,32091
615,1998-06-18,32124
616,1998-06-19,32175
617,1998-06-22,31839
618,1998-06-23,31667
619,1998-06-24,31900
620,1998-06-25,31261
621,1998-06-26,30980
622,1998-06-29,30980
623,1998-06-30,30919
624,1998-07-01,32140
625,1998-07-02,32459
626,1998-07-03,32444
627,1998-07-06,33259
628,1998-07-07,33374
629,1998-07-08,33811
630,1998-07-10,33859
631,1998-07-13,33923
632,1998-07-14,33623
633,1998-07-15,33523
634,1998-07-16,33685
635,1998-07-17,33808
636,1998-07-20,33516
637,1998-07-21,34030
638,1998-07-22,33908
639,1998-07-23,34220
640,1998-07-24,34572
641,1998-07-27,34500
642,1998-07-28,33907
643,1998-07-29,34139
644,1998-07-30,34397
645,1998-07-31,33513
646,1998-08-03,34140
647,1998-08-04,34198
648,1998-08-05,34712
649,1998-08-06,34849
650,1998-08-07,34808
651,1998-08-10,34437
652,1998-08-11,34354
653,1998-08-12,34328
654,1998-08-13,32927
655,1998-08-14,32812
656,1998-08-18,32764
657,1998-08-19,32681
658,1998-08-20,32623
659,1998-08-21,32804
660,1998-08-24,32921
661,1998-08-25,32776
662,1998-08-26,32635
663,1998-08-27,32462
664,1998-08-28,32499
665,1998-08-31,31766
666,1998-09-01,32496
667,1998-09-02,32622
668,1998-09-03,32443
669,1998-09-04,32456
670,1998-09-07,32484
671,1998-09-08,31918
672,1998-09-09,32172
673,1998-09-10,31944
674,1998-09-11,31994
675,1998-09-14,31881
676,1998-09-15,31537
677,1998-09-16,31428
678,1998-09-17,31791
679,1998-09-18,31545
680,1998-09-21,31508
681,1998-09-22,31649
682,1998-09-23,31706
683,1998-09-24,31619
684,1998-09-25,32226
685,1998-09-28,32118
686,1998-09-29,31556
687,1998-09-30,30716
688,1998-10-01,31164
689,1998-10-02,31425
690,1998-10-05,31463
691,1998-10-06,31429
692,1998-10-07,31591
693,1998-10-08,31446
694,1998-10-09,31518
695,1998-10-13,31524
696,1998-10-14,31554
697,1998-10-15,31248
698,1998-10-16,31137
699,1998-10-19,31026
700,1998-10-20,31183
701,1998-10-21,31065
702,1998-10-22,30944
703,1998-10-23,31462
704,1998-10-26,31286
705,1998-10-27,31011
706,1998-10-28,30873
707,1998-10-29,30647
708,1998-10-30,30283
709,1998-11-02,30801
710,1998-11-03,30907
711,1998-11-04,30990
712,1998-11-05,30798
713,1998-11-06,31002
714,1998-11-09,30885
715,1998-11-10,30971
716,1998-11-11,30897
717,1998-11-12,30902
718,1998-11-13,30930
719,1998-11-16,31138
720,1998-11-17,32234
721,1998-11-18,32358
722,1998-11-19,31142
723,1998-11-20,31230
724,1998-11-23,31152
725,1998-11-24,31188
726,1998-11-25,31621
727,1998-11-26,31621
728,1998-11-27,31059
729,1998-11-30,30468
730,1998-12-01,31303
731,1998-12-02,31646
732,1998-12-03,31667
733,1998-12-04,32758
734,1998-12-07,32897
735,1998-12-09,32771
736,1998-12-10,32939
737,1998-12-11,34085
738,1998-12-14,32752
739,1998-12-15,32848
740,1998-12-16,32891
741,1998-12-17,33125
742,1998-12-18,32962
743,1998-12-21,32752
744,1998-12-22,32540
745,1998-12-23,33890
746,1998-12-24,33636
747,1998-12-28,33128
748,1998-12-29,32508
749,1998-12-30,31736
750,1999-01-04,32947
751,1999-01-05,33043
752,1999-01-06,33130
753,1999-01-07,33555
754,1999-01-08,33555
755,1999-01-11,33482
756,1999-01-12,33564
757,1999-01-13,33562
758,1999-01-14,33587
759,1999-01-15,33009
760,1999-01-18,33016
761,1999-01-19,32953
762,1999-01-20,32963
763,1999-01-21,33052
764,1999-01-22,33084
765,1999-01-25,32982
766,1999-01-26,32987
767,1999-01-27,32763
768,1999-01-28,32719
769,1999-01-29,30931
770,1999-02-01,31893
771,1999-02-02,32086
772,1999-02-03,33816
773,1999-02-04,33865
774,1999-02-05,33782
775,1999-02-08,33832
776,1999-02-09,33736
777,1999-02-10,33881
778,1999-02-11,33844
779,1999-02-12,33593
780,1999-02-15,33611
781,1999-02-16,33383
782,1999-02-17,33276
783,1999-02-18,33549
784,1999-02-19,33454
785,1999-02-22,33042
786,1999-02-23,32718
787,1999-02-24,32320
788,1999-02-25,33368
789,1999-02-26,33342
790,1999-03-01,33969
791,1999-03-02,34046
792,1999-03-03,33872
793,1999-03-04,34126
794,1999-03-05,34224
795,1999-03-08,34115
796,1999-03-09,33774
797,1999-03-10,33803
798,1999-03-11,33653
799,1999-03-12,33585
800,1999-03-15,33629
801,1999-03-16,33469
802,1999-03-17,33460
803,1999-03-18,33271
804,1999-03-19,33555
805,1999-03-22,33600
806,1999-03-23,33266
807,1999-03-24,33371
808,1999-03-25,33517
809,1999-03-26,33726
810,1999-03-29,32762
811,1999-03-30,32054
812,1999-03-31,31725
813,1999-04-05,32727
814,1999-04-06,33108
815,1999-04-07,34165
816,1999-04-08,33997
817,1999-04-09,33885
818,1999-04-12,33683
819,1999-04-13,33822
820,1999-04-14,33452
821,1999-04-15,33210
822,1999-04-16,32968
823,1999-04-19,32830
824,1999-04-20,32388
825,1999-04-21,32438
826,1999-04-22,32356
827,1999-04-23,31025
828,1999-04-26,31251
829,1999-04-27,31031
830,1999-04-28,30873
831,1999-04-29,30801
832,1999-04-30,30522
833,1999-05-03,31410
834,1999-05-04,31644
835,1999-05-05,31160
836,1999-05-06,31293
837,1999-05-07,31492
838,1999-05-10,31445
839,1999-05-11,31670
840,1999-05-12,32012
841,1999-05-13,32077
842,1999-05-14,32238
843,1999-05-17,32251
844,1999-05-18,31957
845,1999-05-19,31814
846,1999-05-20,31565
847,1999-05-21,31433
848,1999-05-24,31406
849,1999-05-26,32126
850,1999-05-27,32251
851,1999-05-28,31379
852,1999-05-31,31403
853,1999-06-01,32141
854,1999-06-02,32008
855,1999-06-03,31842
856,1999-06-04,32012
857,1999-06-07,30921
858,1999-06-08,30777
859,1999-06-09,30753
860,1999-06-10,30975
861,1999-06-11,30986
862,1999-06-15,31174
863,1999-06-16,31270
864,1999-06-17,31445
865,1999-06-18,31402
866,1999-06-22,31335
867,1999-06-23,31333
868,1999-06-24,31555
869,1999-06-25,31528
870,1999-06-28,32413
871,1999-06-29,31949
872,1999-06-30,32192
873,1999-07-01,33523
874,1999-07-02,33940
875,1999-07-05,33976
876,1999-07-06,33740
877,1999-07-07,33705
878,1999-07-08,33881
879,1999-07-12,33960
880,1999-07-13,33029
881,1999-07-14,33315
882,1999-07-15,33122
883,1999-07-16,33312
884,1999-07-19,33393
885,1999-07-20,33400
886,1999-07-21,33056
887,1999-07-22,33106
888,1999-07-23,33079
889,1999-07-26,32971
890,1999-07-27,32952
891,1999-07-28,33268
892,1999-07-29,32897
893,1999-07-30,31933
894,1999-08-02,33143
895,1999-08-03,33328
896,1999-08-04,33249
897,1999-08-05,33193
898,1999-08-06,33538
899,1999-08-09,33311
900,1999-08-10,33250
901,1999-08-11,33845
902,1999-08-12,33884
903,1999-08-13,33224
904,1999-08-17,33022
905,1999-08-18,33067
906,1999-08-19,33106
907,1999-08-20,32040
908,1999-08-23,31811
909,1999-08-24,31490
910,1999-08-25,31441
911,1999-08-26,31337
912,1999-08-27,31149
913,1999-08-30,30518
914,1999-08-31,30856
915,1999-09-01,31606
916,1999-09-02,31701
917,1999-09-03,32176
918,1999-09-06,32208
919,1999-09-07,32021
920,1999-09-08,32068
921,1999-09-09,32260
922,1999-09-10,32416
923,1999-09-13,32189
924,1999-09-14,32111
925,1999-09-15,31691
926,1999-09-16,31762
927,1999-09-17,32384
928,1999-09-20,32399
929,1999-09-21,32423
930,1999-09-22,32494
931,1999-09-23,32887
932,1999-09-24,33190
933,1999-09-27,33349
934,1999-09-28,33271
935,1999-09-29,32563
936,1999-09-30,32084
937,1999-10-01,32909
938,1999-10-04,32785
939,1999-10-05,33061
940,1999-10-06,32859
941,1999-10-07,32831
942,1999-10-08,32503
943,1999-10-12,32339
944,1999-10-13,32285
945,1999-10-14,32505
946,1999-10-15,33300
947,1999-10-18,33363
948,1999-10-19,32919
949,1999-10-20,32287
950,1999-10-21,33448
951,1999-10-22,33365
952,1999-10-25,33494
953,1999-10-26,33763
954,1999-10-27,33705
955,1999-10-28,33163
956,1999-10-29,32041
957,1999-11-01,32686
958,1999-11-02,33229
959,1999-11-03,33241
960,1999-11-04,33253
961,1999-11-05,33372
962,1999-11-08,33215
963,1999-11-09,33629
964,1999-11-10,33570
965,1999-11-11,33563
966,1999-11-12,33848
967,1999-11-15,33407
968,1999-11-16,33554
969,1999-11-17,33373
970,1999-11-18,33426
971,1999-11-19,33419
972,1999-11-22,33703
973,1999-11-23,33770
974,1999-11-24,33571
975,1999-11-25,33551
976,1999-11-26,33744
977,1999-11-29,32898
978,1999-11-30,32427
979,1999-12-01,33332
980,1999-12-02,33604
981,1999-12-03,33687
982,1999-12-06,33726
983,1999-12-07,33955
984,1999-12-09,34071
985,1999-12-10,34169
986,1999-12-13,33720
987,1999-12-14,33777
988,1999-12-15,33834
989,1999-12-16,33979
990,1999-12-17,34074
991,1999-12-20,34032
992,1999-12-21,34407
993,1999-12-22,34481
994,1999-12-23,34435
995,1999-12-24,34526
996,1999-12-27,34172
997,1999-12-28,33739
998,1999-12-29,33230
999,1999-12-31,33100
1000,2000-01-03,33070
1001,2000-01-04,33075
1002,2000-01-05,32657
1003,2000-01-06,32537
1004,2000-01-07,32126
1005,2000-01-10,32098
1006,2000-01-11,32190
1007,2000-01-12,32326
1008,2000-01-13,32199
1009,2000-01-14,32073
1010,2000-01-17,32017
1011,2000-01-18,31891
1012,2000-01-19,31899
1013,2000-01-20,31974
1014,2000-01-21,31782
1015,2000-01-24,31661
1016,2000-01-25,31829
1017,2000-01-26,32478
1018,2000-01-27,32508
1019,2000-01-28,32365
1020,2000-01-31,31100
1021,2000-02-01,32762
1022,2000-02-02,32432
1023,2000-02-03,33436
1024,2000-02-04,33671
1025,2000-02-07,33626
1026,2000-02-08,33768
1027,2000-02-09,33960
1028,2000-02-10,34123
1029,2000-02-11,34615
1030,2000-02-14,34239
1031,2000-02-15,33267
1032,2000-02-16,33415
1033,2000-02-17,33378
1034,2000-02-18,33432
1035,2000-02-21,33438
1036,2000-02-22,32889
1037,2000-02-23,32846
1038,2000-02-24,32761
1039,2000-02-25,32869
1040,2000-02-28,32569
1041,2000-02-29,32255
1042,2000-03-01,33162
1043,2000-03-02,33231
1044,2000-03-03,33655
1045,2000-03-06,33585
1046,2000-03-07,33341
1047,2000-03-08,33161
1048,2000-03-09,33222
1049,2000-03-10,33413
1050,2000-03-13,33239
1051,2000-03-14,34297
1052,2000-03-15,33905
1053,2000-03-16,34744
1054,2000-03-17,34361
1055,2000-03-20,34190
1056,2000-03-21,34175
1057,2000-03-22,34052
1058,2000-03-23,33960
1059,2000-03-24,33940
1060,2000-03-27,34059
1061,2000-03-28,33768
1062,2000-03-29,33439
1063,2000-03-30,32189
1064,2000-03-31,32976
1065,2000-04-03,33490
1066,2000-04-04,33616
1067,2000-04-05,34178
1068,2000-04-06,33874
1069,2000-04-07,33915
1070,2000-04-10,33602
1071,2000-04-11,33890
1072,2000-04-12,33886
1073,2000-04-13,33826
1074,2000-04-14,33774
1075,2000-04-17,33587
1076,2000-04-18,33429
1077,2000-04-19,33574
1078,2000-04-24,33003
1079,2000-04-25,31729
1080,2000-04-26,31625
1081,2000-04-27,31329
1082,2000-04-28,31182
1083,2000-05-02,32415
1084,2000-05-03,32659
1085,2000-05-04,32493
1086,2000-05-05,32813
1087,2000-05-08,32429
1088,2000-05-09,32765
1089,2000-05-10,32679
1090,2000-05-11,33032
1091,2000-05-12,33011
1092,2000-05-15,32755
1093,2000-05-16,32570
1094,2000-05-17,32579
1095,2000-05-18,32417
1096,2000-05-19,32524
1097,2000-05-22,32308
1098,2000-05-23,32166
1099,2000-05-24,32534
1100,2000-05-26,32680
1101,2000-05-29,32703
1102,2000-05-30,31113
1103,2000-05-31,30601
1104,2000-06-01,32298
1105,2000-06-02,32354
1106,2000-06-05,32100
1107,2000-06-06,32102
1108,2000-06-07,32168
1109,2000-06-08,32364
1110,2000-06-09,32410
1111,2000-06-12,32518
1112,2000-06-13,32419
1113,2000-06-14,32708
1114,2000-06-15,32852
1115,2000-06-16,32769
1116,2000-06-20,33996
1117,2000-06-21,34257
1118,2000-06-22,34113
1119,2000-06-23,34132
1120,2000-06-26,33994
1121,2000-06-27,33834
1122,2000-06-28,34662
1123,2000-06-29,34638
1124,2000-06-30,34355
1125,2000-07-03,35187
1126,2000-07-04,35204
1127,2000-07-05,35156
1128,2000-07-06,35170
1129,2000-07-07,35266
1130,2000-07-10,34994
1131,2000-07-11,35165
1132,2000-07-12,35137
1133,2000-07-13,35207
1134,2000-07-14,35818
1135,2000-07-17,35944
1136,2000-07-18,36068
1137,2000-07-19,36282
1138,2000-07-20,36508
1139,2000-07-21,37283
1140,2000-07-24,34258
1141,2000-07-25,34312
1142,2000-07-26,34168
1143,2000-07-27,34187
1144,2000-07-28,34068
1145,2000-07-31,33845
1146,2000-08-01,34495
1147,2000-08-02,34643
1148,2000-08-03,34564
1149,2000-08-04,34295
1150,2000-08-07,34267
